LoAu,English Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Babergh,East,"52,900","53,200","53,800","53,800","53,800","53,400","53,200","53,000","52,300","52,100","52,100","51,900","51,900","52,000"
Basildon,East,"107,200","108,100","109,000","109,700","110,500","110,700","110,900","111,400","111,500","112,100","113,300","113,900","114,600","114,500"
Bedford,East,"97,800","98,000","98,300","98,900","99,200","99,400","100,500","101,100","101,400","102,000","103,000","104,100","105,100","105,000"
Braintree,East,"88,500","89,900","91,200","92,200","93,100","93,000","93,400","93,800","93,200","92,900","92,900","92,900","92,600","92,600"
Breckland,East,"75,900","77,000","78,100","78,900","79,500","79,400","79,300","79,600","79,200","79,200","79,300","79,800","80,100","80,600"
Brentwood,East,"43,400","43,900","44,300","44,600","45,000","45,400","45,800","46,200","46,000","46,100","47,000","47,100","47,100","46,900"
Broadland,East,"75,200","75,500","76,100","76,400","76,200","76,000","76,000","75,800","75,000","74,600","74,300","74,400","74,400","74,800"
Broxbourne,East,"56,300","57,100","57,700","58,500","58,800","59,200","59,400","59,500","59,500","59,600","59,900","60,100","60,300","60,000"
Cambridge,East,"82,400","87,300","86,600","85,100","85,400","85,600","88,400","90,300","89,100","88,900","88,800","89,400","88,500","88,300"
Castle Point,East,"55,000","55,000","54,900","54,900","54,900","54,700","54,400","53,900","53,200","52,900","52,700","52,500","52,600","52,400"
Central Bedfordshire,East,"156,500","157,800","159,600","161,400","162,600","162,800","163,800","165,500","166,500","168,300","170,000","172,100","173,900","175,200"
Chelmsford,East,"106,900","107,800","108,000","108,000","108,000","108,300","108,800","108,900","108,000","107,700","107,900","108,000","108,400","109,300"
Colchester,East,"104,000","107,000","108,500","109,900","111,100","111,300","113,100","114,200","114,800","115,100","116,500","119,000","120,500","122,000"
Dacorum,East,"88,400","88,800","89,600","90,200","91,000","91,800","92,600","93,400","93,600","94,200","94,900","95,700","96,200","96,400"
East Cambridgeshire,East,"48,200","49,100","50,100","51,400","51,900","52,600","53,000","53,300","53,400","53,300","53,600","53,600","53,600","53,500"
East Hertfordshire,East,"84,800","85,200","85,900","86,800","87,600","88,200","88,600","89,100","89,000","89,700","90,300","91,100","91,900","92,000"
Epping Forest,East,"76,900","77,200","78,200","78,600","78,800","79,100","79,000","79,100","78,900","79,000","79,800","80,100","80,400","80,500"
Fenland,East,"54,000","54,800","56,200","57,700","58,300","58,700","59,100","59,200","59,000","58,900","59,100","59,700","59,800","60,200"
Forest Heath,East,"37,600","38,200","37,700","37,700","37,400","37,600","38,000","39,100","38,600","38,200","39,600","39,600","39,000","40,200"
Great Yarmouth,East,"57,500","58,100","58,500","58,900","59,200","59,200","59,500","59,400","58,800","58,600","58,400","58,300","58,100","58,000"
Harlow,East,"50,000","50,300","50,700","51,200","51,600","52,000","52,400","52,800","52,900","52,900","53,600","53,800","54,000","53,900"
Hertsmere,East,"59,200","59,600","60,400","61,300","62,200","62,800","63,200","63,600","63,300","63,300","63,400","63,500","63,400","63,200"
Huntingdonshire,East,"106,200","106,500","107,500","108,200","109,100","109,000","109,300","110,000","109,400","109,100","109,300","109,700","109,400","109,700"
Ipswich,East,"77,000","80,000","80,800","81,700","83,300","84,800","86,400","87,700","88,000","88,000","88,100","88,700","88,800","88,300"
King's Lynn and West Norfolk,East,"84,300","85,100","86,700","87,800","88,300","88,500","88,700","89,000","88,200","87,700","87,800","87,500","87,300","86,900"
Luton,East,"118,700","120,000","121,600","123,300","124,400","126,600","129,800","132,800","133,500","134,100","135,400","137,200","138,200","136,400"
Maldon,East,"38,500","38,700","39,000","39,200","39,200","39,000","38,800","38,400","37,900","37,700","37,800","37,500","37,700","37,800"
Mid Suffolk,East,"55,900","56,900","57,800","58,800","59,100","59,200","59,400","59,600","59,300","59,300","59,500","59,700","59,700","59,800"
North Hertfordshire,East,"76,300","76,700","77,600","78,400","79,300","79,700","80,200","80,900","80,600","80,800","81,400","81,600","82,000","82,100"
North Norfolk,East,"57,800","57,900","58,200","58,400","58,300","57,600","57,300","57,600","56,800","56,400","56,400","56,100","55,800","55,700"
Norwich,East,"84,100","85,900","87,000","87,200","88,000","88,900","90,300","91,100","91,700","92,200","93,100","94,200","95,300","95,600"
Peterborough,East,"105,600","108,600","111,000","113,000","115,200","116,900","118,600","120,100","120,400","120,800","121,300","122,700","123,900","124,500"
Rochford,East,"50,000","50,500","51,000","51,600","52,100","51,900","51,800","51,500","51,200","50,800","51,300","51,200","51,500","51,800"
South Cambridgeshire,East,"87,800","89,000","90,400","91,700","92,600","93,400","94,400","95,300","94,700","93,900","94,400","95,000","95,300","95,100"
South Norfolk,East,"70,800","71,300","71,700","72,300","73,000","73,700","74,600","75,300","75,000","75,300","75,800","76,700","77,400","78,800"
Southend-on-Sea,East,"99,700","101,000","102,800","104,100","106,200","107,400","108,800","110,100","109,800","109,900","110,800","110,900","111,400","111,900"
St Albans,East,"83,800","84,000","85,000","85,800","86,800","87,500","88,300","89,100","88,700","88,900","89,700","89,900","90,000","89,600"
St Edmundsbury,East,"65,300","66,200","67,200","67,900","68,500","68,700","69,300","69,900","69,100","68,700","68,500","68,500","68,200","67,900"
Stevenage,East,"51,500","51,900","52,200","52,700","53,400","53,900","54,300","55,100","55,200","55,400","55,600","55,800","56,200","56,400"
Suffolk Coastal,East,"70,800","71,800","72,900","74,200","74,500","74,100","73,900","73,700","72,600","72,400","72,200","72,300","72,500","72,700"
Tendring,East,"79,500","79,800","80,100","80,400","80,300","79,400","78,900","78,000","77,000","76,700","76,900","77,300","78,000","78,400"
Three Rivers,East,"52,800","53,100","53,500","54,300","54,800","55,300","55,500","55,500","55,500","55,800","56,100","56,800","57,100","56,900"
Thurrock,East,"96,500","97,500","99,000","100,200","101,200","101,900","102,900","103,700","103,800","104,200","105,400","106,200","107,200","108,000"
Uttlesford,East,"45,200","45,600","46,500","47,200","47,900","48,500","49,500","50,300","50,400","50,800","51,600","52,100","52,400","53,200"
Watford,East,"54,100","55,100","55,100","55,700","57,000","58,100","59,500","60,700","61,100","62,000","62,800","63,100","63,000","62,700"
Waveney,East,"68,500","69,400","69,700","69,800","69,700","69,200","68,500","67,800","67,100","66,900","66,300","66,100","66,200","66,300"
Welwyn Hatfield,East,"65,000","67,500","69,100","70,600","71,000","71,600","72,700","73,500","73,500","74,400","75,500","77,400","80,000","81,000"
Amber Valley,East Midlands,"76,000","76,600","77,300","77,700","77,900","78,000","78,000","78,100","77,400","77,300","77,100","76,800","76,900","77,300"
Ashfield,East Midlands,"73,600","74,400","75,100","75,400","75,600","75,900","76,100","76,300","76,200","76,600","76,800","77,400","77,800","78,500"
Bassetlaw,East Midlands,"70,500","70,700","71,100","71,500","71,800","71,800","71,900","71,700","71,100","70,900","70,800","70,700","70,600","70,800"
Blaby,East Midlands,"58,900","58,900","59,200","59,500","59,800","59,600","59,600","59,500","59,200","59,100","59,200","59,200","59,800","60,400"
Bolsover,East Midlands,"46,700","47,000","47,500","47,900","48,100","48,100","48,300","48,400","48,400","48,400","48,500","48,800","49,000","49,400"
Boston,East Midlands,"36,100","36,500","37,600","38,500","39,400","40,100","40,600","40,400","40,000","40,300","40,600","40,700","41,100","41,300"
Broxtowe,East Midlands,"70,700","71,000","71,300","71,300","71,300","71,300","71,000","70,900","70,500","70,300","70,100","70,100","69,900","70,000"
Charnwood,East Midlands,"103,400","104,400","105,300","106,200","107,300","108,300","109,400","110,100","111,100","111,400","113,000","114,500","115,600","117,500"
Chesterfield,East Midlands,"63,900","64,600","65,100","65,400","65,800","66,000","66,200","66,300","65,800","65,800","65,700","65,600","65,400","65,300"
Corby,East Midlands,"34,600","35,300","36,300","37,300","38,200","38,900","39,600","40,500","41,000","41,600","42,300","43,000","43,700","44,400"
Daventry,East Midlands,"48,800","49,300","50,000","50,300","50,200","50,200","50,000","49,900","49,400","49,000","49,000","49,300","49,800","50,600"
Derby,East Midlands,"149,600","151,300","153,100","154,600","156,000","157,300","159,400","160,300","160,400","160,100","159,800","160,300","161,600","161,600"
Derbyshire Dales,East Midlands,"43,300","43,200","43,200","43,600","43,800","43,500","43,600","43,400","43,000","42,500","42,400","42,000","41,800","41,900"
East Lindsey,East Midlands,"81,300","81,600","82,200","82,700","82,500","81,700","81,000","79,900","78,700","77,700","77,700","77,400","77,100","77,300"
East Northamptonshire,East Midlands,"51,900","52,600","53,800","54,700","55,100","55,100","54,900","55,000","54,600","54,500","54,700","55,200","55,600","56,400"
Erewash,East Midlands,"70,600","70,800","70,900","71,400","71,700","71,800","72,000","72,000","71,600","71,400","71,700","71,700","71,700","71,500"
Gedling,East Midlands,"71,800","71,900","71,900","72,000","72,000","72,000","72,100","72,300","71,700","71,900","72,100","72,000","72,100","71,900"
Harborough,East Midlands,"50,700","50,900","51,600","52,500","52,800","52,900","53,200","53,600","53,400","53,700","53,600","54,000","54,300","55,000"
High Peak,East Midlands,"57,500","57,800","58,300","58,800","59,000","59,000","58,900","58,700","58,300","57,900","57,800","57,700","57,500","57,500"
Hinckley and Bosworth,East Midlands,"66,100","66,600","67,100","67,400","67,700","67,400","67,200","67,300","66,800","66,500","66,500","66,700","67,100","67,600"
Kettering,East Midlands,"55,000","55,800","57,000","58,400","59,200","59,600","59,600","59,900","59,900","60,000","60,100","60,100","60,700","61,300"
Leicester,East Midlands,"194,000","200,800","205,400","209,900","212,600","215,400","219,500","222,800","223,600","224,700","226,500","230,100","233,600","236,200"
Lincoln,East Midlands,"58,900","60,200","61,200","61,800","61,900","62,400","63,600","64,300","65,200","65,400","65,700","66,000","66,400","67,200"
Mansfield,East Midlands,"63,800","64,600","65,600","66,400","67,200","67,400","67,500","67,500","67,200","67,200","67,200","67,500","67,800","67,900"
Melton,East Midlands,"31,100","31,100","31,300","31,600","31,600","31,600","31,800","32,100","31,800","31,600","31,500","31,300","31,000","30,700"
Newark and Sherwood,East Midlands,"69,100","69,700","70,600","71,300","71,900","72,000","72,200","72,000","71,800","72,100","72,200","72,400","72,800","73,200"
North East Derbyshire,East Midlands,"62,000","62,000","62,000","62,300","62,300","62,100","61,900","61,700","61,200","60,600","60,200","60,000","60,100","60,000"
North Kesteven,East Midlands,"62,100","62,500","63,700","64,800","65,800","66,100","66,400","66,700","66,300","66,200","66,700","67,000","67,600","68,400"
North West Leicestershire,East Midlands,"57,200","57,600","58,400","59,100","59,600","59,700","59,600","59,500","59,100","59,100","59,600","60,400","61,100","62,000"
Northampton,East Midlands,"129,000","131,400","134,400","136,300","137,600","138,700","139,600","140,800","140,600","140,500","141,400","142,700","143,900","143,600"
Nottingham,East Midlands,"192,200","197,500","198,900","200,400","202,400","205,800","209,600","212,600","215,800","216,800","219,200","222,600","226,700","229,900"
Oadby and Wigston,East Midlands,"36,000","35,600","35,900","35,900","35,700","35,000","34,500","35,300","35,000","34,900","34,500","34,500","34,100","34,800"
Rushcliffe,East Midlands,"69,300","69,500","70,000","70,100","70,100","70,200","70,600","70,100","69,300","69,900","70,000","70,300","70,300","70,300"
Rutland,East Midlands,"22,600","22,900","23,100","23,400","23,400","23,200","23,300","23,000","22,300","22,700","22,900","22,700","23,000","23,200"
South Derbyshire,East Midlands,"56,500","57,400","58,500","59,400","60,200","60,700","61,000","61,500","61,500","62,000","62,500","63,000","63,600","64,600"
South Holland,East Midlands,"48,700","49,300","50,600","51,700","52,500","53,200","53,600","53,700","53,100","53,100","53,500","54,000","54,500","54,800"
South Kesteven,East Midlands,"80,100","80,500","81,600","82,400","82,900","83,200","83,400","83,600","83,400","83,600","84,100","84,000","84,400","84,200"
South Northamptonshire,East Midlands,"54,000","55,200","55,700","55,900","55,700","55,200","54,800","54,200","53,900","54,000","54,100","54,400","54,600","55,100"
Wellingborough,East Midlands,"47,000","47,600","48,100","48,300","48,600","48,300","48,100","48,000","47,600","46,800","46,800","47,000","47,400","47,700"
West Lindsey,East Midlands,"52,200","52,900","53,700","54,600","55,200","55,100","55,300","55,100","54,900","55,000","55,100","55,400","55,500","55,400"
Barking and Dagenham,London,"104,500","104,900","105,500","106,600","108,900","112,300","116,200","119,200","120,700","122,900","125,600","128,600","131,700","133,400"
Barnet,London,"212,900","215,900","218,400","221,400","224,200","228,300","231,600","235,400","237,900","240,000","242,800","245,700","249,100","249,900"
Bexley,London,"139,500","140,600","141,600","142,800","144,000","145,000","146,600","147,700","147,700","149,000","150,800","152,400","154,300","154,900"
Brent,London,"183,700","185,300","189,500","194,700","200,800","205,900","210,800","216,500","216,700","217,500","218,100","219,200","219,900","220,400"
Bromley,London,"188,300","189,800","191,600","192,900","194,700","195,600","196,500","197,400","198,000","200,100","201,600","203,900","204,400","205,100"
Camden,London,"152,400","155,600","155,300","155,400","154,000","155,700","156,300","160,500","162,500","165,600","168,600","173,500","176,600","179,000"
City of London,London,"5,600","5,600","5,700","6,000","5,800","5,900","5,700","5,700","4,900","4,200","4,100","4,400","4,800","5,000"
Croydon,London,"221,900","223,700","225,300","228,000","231,600","233,800","236,700","240,900","242,200","244,500","245,800","247,100","248,400","248,200"
Ealing,London,"215,200","217,200","219,200","221,500","224,800","228,400","230,600","233,700","232,600","232,100","230,900","230,400","229,300","226,000"
Enfield,London,"184,600","186,100","187,800","190,500","194,400","196,900","200,500","204,500","205,500","207,000","209,200","211,700","214,100","213,600"
Greenwich,London,"152,100","155,000","157,900","159,900","162,400","165,100","169,100","173,700","176,400","178,900","182,000","185,800","188,900","191,300"
Hackney,London,"146,800","149,700","153,700","157,900","164,200","169,100","173,500","178,600","181,900","185,500","189,800","193,600","196,500","198,100"
Hammersmith and Fulham,London,"127,200","128,500","130,100","132,000","132,400","134,800","135,100","136,300","135,000","133,400","132,600","132,300","131,000","130,800"
Haringey,London,"159,000","160,900","163,900","166,700","172,900","176,900","178,800","181,100","182,400","184,500","186,400","188,900","191,600","190,100"
Harrow,London,"142,300","146,100","148,300","150,100","151,800","154,200","156,700","158,400","158,400","158,000","158,500","159,000","159,600","158,500"
Havering,London,"141,500","142,600","144,200","145,600","147,000","148,500","149,900","150,800","150,700","151,500","153,300","155,300","157,300","158,800"
Hillingdon,London,"163,200","165,400","167,600","169,700","172,700","175,700","178,200","182,800","185,500","187,800","190,900","193,700","195,500","196,600"
Hounslow,London,"150,900","154,400","157,900","161,900","164,800","168,400","172,300","176,200","177,400","178,100","179,000","179,600","179,700","179,000"
Islington,London,"132,200","134,900","136,800","140,000","143,000","147,100","149,800","155,400","158,800","162,000","166,500","171,300","174,800","176,700"
Kensington and Chelsea,London,"120,800","123,400","121,000","118,900","118,600","117,800","116,300","114,500","111,900","111,000","110,500","110,200","107,700","106,100"
Kingston upon Thames,London,"104,200","105,400","106,600","106,900","107,900","108,400","108,700","109,500","110,600","111,700","112,800","114,700","115,800","115,900"
Lambeth,London,"198,600","202,300","205,100","209,500","213,200","217,500","220,200","226,400","230,100","232,300","235,600","238,800","240,700","241,200"
Lewisham,London,"174,200","176,600","179,400","182,000","186,500","189,200","190,000","193,400","195,800","198,500","202,600","206,300","209,200","211,000"
Merton,London,"129,400","131,000","132,800","134,300","135,500","137,200","137,400","138,300","138,100","138,600","138,600","138,900","138,700","137,600"
Newham,London,"170,500","170,000","174,000","180,900","189,000","197,500","209,500","219,600","223,200","226,200","230,800","237,000","242,800","244,900"
Redbridge,London,"162,400","164,200","167,100","170,400","174,200","177,400","180,000","184,400","185,700","188,100","191,300","193,900","196,200","196,100"
Richmond upon Thames,London,"122,800","124,300","125,000","124,600","124,500","124,600","125,000","124,900","124,300","124,500","125,100","125,000","124,900","124,400"
Southwark,London,"181,700","186,800","192,600","197,500","201,600","205,600","208,300","212,900","215,900","219,700","222,500","226,600","228,500","229,900"
Sutton,London,"118,400","119,200","120,200","121,200","122,600","123,900","124,400","125,400","125,700","126,700","127,700","128,400","129,300","129,600"
Tower Hamlets,London,"147,800","150,400","155,400","162,400","169,000","176,500","183,200","190,000","195,000","201,900","210,300","217,100","222,000","226,400"
Waltham Forest,London,"152,000","153,200","156,600","160,400","165,400","169,900","174,300","178,600","179,400","180,900","182,100","183,800","185,700","185,900"
Wandsworth,London,"207,300","211,400","215,500","218,600","220,600","223,700","225,600","229,400","229,200","231,000","232,500","233,900","234,400","234,700"
Westminster,London,"162,300","170,300","169,600","166,800","164,400","161,900","160,800","162,200","163,900","163,400","165,700","171,200","173,100","173,900"
County Durham,North East,"320,400","322,400","324,600","327,800","329,800","330,400","331,700","331,800","329,200","328,600","327,600","327,300","327,300","326,900"
Darlington,North East,"62,600","63,300","64,400","65,400","66,200","66,600","66,700","66,800","66,100","65,900","65,600","65,400","65,300","64,900"
Gateshead,North East,"122,800","123,800","124,800","126,000","127,200","128,200","128,800","129,400","128,500","127,800","127,700","128,200","128,300","127,900"
Hartlepool,North East,"56,400","56,700","57,100","57,500","58,100","58,300","58,400","58,600","58,300","58,300","57,800","57,600","57,700","57,500"
Middlesbrough,North East,"89,100","89,300","89,300","89,400","89,200","88,800","89,000","89,500","89,400","89,100","88,800","88,600","89,100","88,900"
Newcastle upon Tyne,North East,"178,500","181,800","183,200","185,100","185,600","187,500","190,300","192,300","193,300","195,800","196,900","198,400","200,300","201,500"
North Tyneside,North East,"123,200","124,200","125,700","127,000","128,400","129,000","129,600","129,900","128,900","128,600","128,300","127,600","127,400","127,300"
Northumberland,North East,"197,400","197,800","198,400","199,700","200,100","199,700","199,200","198,700","196,300","194,400","193,100","191,600","190,900","190,600"
Redcar and Cleveland,North East,"87,100","86,900","86,600","86,200","86,100","85,600","85,100","84,600","83,500","82,800","82,200","81,900","81,700","81,500"
South Tyneside,North East,"94,300","94,300","94,400","94,900","95,100","95,400","95,500","95,400","94,900","94,500","94,000","93,500","93,500","93,300"
Stockton-on-Tees,North East,"119,900","120,800","121,700","122,400","123,300","123,900","124,400","124,500","123,800","123,500","123,400","123,100","123,100","122,700"
Sunderland,North East,"181,900","181,800","181,800","182,000","181,600","181,200","181,000","180,200","178,900","178,200","177,900","177,200","176,600","175,500"
Allerdale,North West,"59,600","59,700","59,900","60,400","60,500","60,400","60,100","60,100","59,200","58,800","58,500","58,400","58,200","57,900"
Barrow-in-Furness,North West,"44,600","44,600","44,400","44,400","44,200","44,200","44,000","43,700","42,900","42,200","41,900","41,700","41,300","41,000"
Blackburn with Darwen,North West,"88,700","89,500","90,500","91,400","92,200","93,100","93,700","94,200","93,800","93,400","92,800","92,800","93,000","92,800"
Blackpool,North West,"89,300","90,000","90,400","90,800","90,300","90,000","90,000","89,300","88,500","87,900","87,100","86,300","86,100","85,600"
Bolton,North West,"169,100","169,700","171,400","172,600","173,900","175,200","176,200","177,300","176,900","176,500","175,700","175,500","176,000","175,800"
Burnley,North West,"55,700","55,700","56,100","56,100","56,200","55,900","55,600","55,700","55,000","54,400","54,200","53,900","53,600","53,300"
Bury,North West,"116,000","116,000","116,900","117,700","118,000","118,200","118,600","118,500","117,600","116,900","116,600","116,400","116,400","116,700"
Carlisle,North West,"67,300","68,400","69,400","70,000","69,700","69,300","69,100","69,000","68,600","68,300","67,600","67,100","66,700","66,200"
Cheshire East,North West,"226,800","228,600","230,600","232,700","233,700","233,200","232,900","233,000","231,000","229,000","227,900","227,300","226,600","226,100"
Cheshire West and Chester,North West,"208,400","210,100","211,500","212,500","212,300","211,400","210,800","209,900","208,000","206,900","206,400","206,500","206,200","206,400"
Chorley,North West,"68,200","68,400","68,700","69,000","69,500","69,400","69,500","69,800","69,900","70,200","70,300","70,700","71,100","71,900"
Copeland,North West,"44,700","44,900","45,200","45,500","45,600","45,400","45,300","45,200","44,500","43,900","43,500","43,200","42,500","41,800"
Eden,North West,"32,400","32,600","32,700","32,900","33,000","32,800","32,700","32,400","32,200","31,800","31,600","31,300","31,000","30,900"
Fylde,North West,"45,000","45,300","45,400","45,800","45,700","45,800","45,700","45,500","44,900","44,900","44,900","44,900","45,000","45,200"
Halton,North West,"78,700","79,100","79,800","80,400","80,900","81,300","81,900","82,200","81,300","80,700","80,300","80,000","79,700","79,300"
Hyndburn,North West,"50,900","51,100","51,500","51,800","51,800","51,600","51,400","51,100","50,400","49,800","49,600","49,300","49,200","49,100"
Knowsley,North West,"94,200","94,400","94,800","94,900","95,000","94,700","94,500","94,200","93,800","93,700","93,700","93,800","93,900","93,900"
Lancaster,North West,"87,600","88,900","89,000","88,600","88,200","88,200","89,100","89,400","89,800","89,700","89,300","89,600","89,800","90,200"
Liverpool,North West,"298,800","304,000","306,500","308,900","311,000","314,100","318,100","322,000","324,100","324,500","325,300","329,600","334,000","335,700"
Manchester,North West,"306,300","317,000","324,900","331,500","337,400","342,700","349,500","357,500","362,200","363,000","365,900","373,800","382,300","384,700"
Oldham,North West,"138,000","138,100","138,900","139,500","140,100","140,600","140,900","141,600","140,900","140,700","140,800","141,700","142,800","143,500"
Pendle,North West,"55,600","55,900","56,500","56,800","57,000","57,100","56,900","56,800","56,100","55,900","55,200","55,000","54,900","54,800"
Preston,North West,"89,200","90,900","92,500","93,200","93,000","92,500","93,000","93,800","93,800","92,900","92,300","92,600","92,500","92,400"
Ribble Valley,North West,"35,300","35,500","35,600","35,800","35,800","35,500","35,400","35,100","34,900","34,900","34,800","34,900","35,100","35,400"
Rochdale,North West,"132,100","132,300","133,300","134,100","135,000","135,300","135,300","136,100","135,000","134,400","134,400","134,800","135,400","136,200"
Rossendale,North West,"42,200","42,700","43,100","43,500","43,900","44,200","44,300","44,300","43,900","43,700","43,600","43,500","43,500","43,700"
Salford,North West,"141,900","143,800","146,200","147,700","150,400","152,200","154,200","156,000","156,600","157,100","158,700","160,900","162,400","164,600"
Sefton,North West,"170,500","170,000","170,100","170,400","170,700","170,300","169,700","169,300","167,600","166,400","165,800","165,400","165,000","163,700"
South Lakeland,North West,"64,000","64,400","64,500","64,600","64,400","63,800","63,400","62,600","61,500","61,000","60,400","60,000","59,800","59,900"
South Ribble,North West,"68,100","68,300","68,900","69,400","69,800","70,000","69,800","69,600","68,600","68,100","67,700","67,500","67,400","67,200"
St. Helens,North West,"112,300","112,200","112,400","112,300","112,500","112,600","112,200","111,800","111,000","110,300","110,200","110,100","110,200","110,200"
Stockport,North West,"179,300","178,500","178,500","179,100","179,300","179,300","178,800","178,400","176,800","176,400","176,300","176,600","177,000","177,100"
Tameside,North West,"137,900","138,200","139,300","140,100","141,100","141,700","142,100","142,500","141,200","140,400","139,500","139,400","139,900","140,000"
